编号,范围,单位,默认值,模式,属性,保留,
0,0~65535,NA,0,SPT,OR,N,
1,0~4294967295,NA,0,SPT,OR,N,
2,0~65535,NA,0,SPT,OR,N,
3,0~65535,NA,0,SPT,OR,N,
4,0~400,Volts,220,SPT,OR,N,
5,0~65535,mA,1500,SPT,OR,N,
6,0~65535,mA,5000,SPT,OR,N,
7,0~65535,NA,0,,OR,N,
8,0~65535,NA,0,,RW,Y,
9,0~65535,NA,0,,RW,Y,
10,0~65535,NA,0,,RW,Y,
11,0~255,NA,1,SPT,RW,N,
12,0~4,NA,3,SPT,RW,N,
13,0~5,NA,3,SPT,RW,N,
14,0~65535,NA,0,SPT,RW,N,
15,0~65535,NA,0,SPT,RW,Y,
16,0~65535,NA,0,,RW,Y,
17,0~65535,NA,0,,RW,Y,
18,0~65535,NA,0,,RW,Y,
19,0~65535,NA,0,,RW,Y,
20,0~65535,NA,0,SPT,RW,Y,
21,0~65535,NA,0,SPT,RW,Y,
22,0~65535,NA,0,SPT,RW,Y,
23,0~20000,W,400,SPT,OR,N,
24,0~65535,NA,0,SPT,RW,Y,
25,0~3,NA,1,SPT,OR,N,
26,0~4294967295,Pulse,0,SPT,RW,N,
27,0~65535,Pulse,10000,SPT,RW,N,
28,1~10,NA,4,SPT,RW,N,
29,1~200,V/KRPM,50,SPT,RW,N,
30,1~65535,mΩ,100,SPT,RW,N,
31,1~65535,uh,1000,SPT,RW,N,
32,0~65535,NA,0,,RW,Y,
33,0~65535,NA,0,,RW,Y,
34,0~65535,NA,0,,RW,Y,
35,0~1,NA,0,,RW,N,
36,0~3,NA,0,SPT,RW,N,
37,0~2,NA,2,SPT,RW,N,
38,0~4294967295,Pulse,0,SPT,RW,N,
39,0~65535,Pulse,10000,SPT,RW,N,
40,0~1,NA,0,SPT,RW,N,
41,0~1,NA,0,SPT,RW,N,
42,0~1,NA,0,SPT,RW,N,
43,0~1,NA,0,SPT,RW,N,
44,0~1,NA,0,SPT,RW,N,
45,0~1,NA,0,SPT,RW,N,
46,0~1,NA,0,SPT,RW,N,
47,0~1,NA,0,SPT,RW,N,
48,0~65535,Pulse,100,SPT,RW,N,
49,0~65535,Pulse,1000,SPT,RW,N,
50,0~65535,ms,100,SPT,RW,N,
51,0~1,NA,0,SPT,RW,N,
52,0~1,NA,0,SPT,RW,N,
53,0~1,NA,0,SPT,RW,N,
54,0~1,NA,0,SPT,RW,N,
55,0~1,NA,0,SPT,RW,N,
56,0~1,NA,0,SPT,RW,N,
57,0~1000,mA,0,SPT,RW,N,
58,0~1,NA,0,SPT,RW,N,
59,0~1,NA,0,SPT,RW,N,
60,0~65535,ms,500,SPT,RW,N,
61,0~1000,RPM,30,SPT,RW,N,
62,1~10000,0.1ms,880,SPT,RW,N,
63,1~10000,0.1ms,880,SPT,RW,N,
64,1~10000,0.1ms,880,SPT,RW,N,
65,0~1,NA,0,SPT,RW,N,
66,0~3000,NA,0,SPT,RW,N,
67,1~1000,0.1ms,880,SPT,RW,N,
68,0~1,NA,0,SPT,RW,N,
69,0~6,NA,0,,RW,N,
70,0~65535,ms,100,,RW,N,
71,0~1,NA,0,,OR,N,
