No.,Name,Function Description,Parameter Group
0,Drive type,"101XX£ºTwo-phase intelligent stepper drive
201XX£ºThree-phase intelligent stepper drive
301XX£ºCoreless DC servo drive
401XX£ºDC servo drive
501XX£ºBeta version AC servo drive",Driver settings
1,"Drive serial number 
High bits","High 16 bits of drive serial number, together with low 16 bits to form a 32 bits number, which is the unique identification number of the drive",Driver settings
2,"Drive serial number
Low bits","Low 16 bits of drive serial number, together with high 16 bits to form a 32 bits number, which is the unique identification number of the drive",Driver settings
3,Software version of the drive,"Software version of the drive, e.g.30201, Version 3.02.01",Driver settings
4,Drive rated voltage,Drive rated voltage,Driver settings
5,Drive rated current,Drive rated current,Driver settings
6,Current sampling full-scale current  ,Current sampling full-scale current  ,Driver settings
7,Hardware version number of the drive,"Hardware version of the drive, e.g.30201, Version3.02.01",Driver settings
8,Panasonic motor type,"Panasonic motor type:0-GCGM,others-GIU",Driver settings
9,Communication checksum method,"0: CRC checksum.Other  values: XOR checksum; Any modification please restart drive to apply. If used for MODBUS communication, need to set this parameter to XOR.",Driver settings
10,Built-in PLC function ON/OFF,0: PLC function OFF; 1: PLC function ON,Driver settings
11,Drive address,Drive address.Please restart to apply after modification.,Driver settings
12,RS232/RS485/USB communication baud rate,"RS232/RS485/USB communication baud rate
0-9600bps;
1-19200bps;
2-38400bps;
3-57600bps;
4-115200bps;
Restart to apply after any modification",Driver settings
13,CAN communication baud rate,"CAN bus communication baud rate
0-50kbps;
1-125kbps;
2-250kbps;
3-500kbps;
4-800kbps;
5-1Mbps;
Restart to apply after any modification",Driver settings
14,U-phase current offset limit,"U-phase current offset, if actual offset   exceeds the limit when drive starts, the drive will report current offset fault.",Driver settings
15,V-phase current offset limit,"V-phase current offset, if actual offset   exceeds the limit when drive starts, the drive will report current offset fault.",Driver settings
16,Reserved,Reserved,Reserved
17,Define a input as enable signal in network mode,"If this   is set to 9999,an input can be defined as signal for motor enable and release command in network operation mode, otherwise the function is invalid in network operation mode;",Control Parameter
18,Brake operation,"In case brake on and motor enable are not linked, it is used to operate the brake, 0: brake to be released; 1: the brake to be activated",Control Parameter
19,Reserved,Reserved,Reserved
20,Reserved,Reserved,Reserved
21,Reserved,Reserved,Reserved
22,Reserved,Reserved,Reserved
23,Rated power,"Rated power of the drive, only as a display setting, does not affect any control and function",Driver settings
24,Reserved,Reserved,Reserved
25,Motor feedback type,"Motor feedback type£º
0-Incremental encoder;
1-Digital Hall£»
2-Resolver;
3-4-Wires encoder;
4-Tamakawa's 17-bit encoder;
5-HEIDENHAIN EnData2.2 encoder;
6-Renishaw Biss encoder;
7-SSI encoder£»
",Driver settings
26,"Encoder count per revolution, high bits","High bit of encoder counts per revolution, together with lowe bits it makes a 32 bits   for encoder resolution",Driver settings
27,"Encoder count per revolution, lowe  bits","Low bit of encoder counts per revolution, together with high bits it makes a 32 bits   for encoder resolution",Driver settings
28,Motor pole pairs,"Motor electromagnetic pole pairs (4 represents 4 electrode pairs, ie 8 poles)",Driver settings
29,Motor Ke  ,Motor back electromotive force constant (Not valid in current version),Driver settings
30,Motor resistance  ,Motor phase resistance (Not valid in current version),Driver settings
31,Motor inductance  ,Motor phase inductance (Not valid in current version),Driver settings
32,Reserved,Reserved,Reserved
33,Reserved,Reserved,Reserved
34,Reserved,Reserved,Reserved
35,Stop Motion,"Stop motion. If set to 1 then the motor will stop, and then the   will automatically change to 0;",Control Parameter
36,Operating mode,"Drive operating mode:
0-Network command mode;
1-Pulse/direction mode;
2-Analog signal mode£»
3-PWM mode£»
PLC function is available in all modes",Control Parameter
37,Control mode,"Drive control mode:
0-Current control mode;
1-Speed control mode£»
2-Position control mode£»",Control Parameter
38,High 16-bit of motor point-to-point motion distance,Moving distance  . high 16 bits.,Position mode
39,Low 16-bit of motor point-to-point motion distance,Moving distance  . low 16 bits.,Position mode
40,Motor Enable | Release Enable,"Motor enable:
0-Release Motor£»
1-Enable Motor£»",Control Parameter
41,Start motion in position mode,"Set to 1 motor to perform the point-to-point motion command under position mode in the network operation mode, and then  the   automatically changes to 0;",Control Parameter
