Numbering,name,Function Description,Parameter grouping,
0,Drive type,"101XX£ºTwo-phase intelligent stepper drive
201XX£ºThree-phase intelligent stepper drive
301XX£ºCoreless DC servo drive
401XX£ºDC servo drive
501XX£ºBeta version AC servo drive",Drive information,
1,"Drive serial number 
High bits","High 16 bits of drive serial number, together with low 16 bits to form a 32 bits number, which is the unique identification number of the drive",Drive information,
2,"Drive serial number
Low bits","Low 16 bits of drive serial number, together with high 16 bits to form a 32 bits number, which is the unique identification number of the drive",Drive information,
3,Software version of the drive,"Software version of the drive, e.g.30201, Version 3.02.01",Drive information,
4,Drive rated voltage,Drive rated voltage,Drive information,
5,Drive rated current,Drive rated current,Drive information,
6,ISP download function enabled,"After this function is enabled, you can use the MOTEC program to download the firmware of the software update drive.",Drive information,
7,ISP download function 32-bit download password high 16 bits,ISP remote download drive firmware verification password,Drive information,
8,ISP download function 32-bit download password low 16 bits,ISP remote download drive firmware verification password,Drive information,
9,Drive hardware version number,"Drive hardware version, e.g.30201, Version3.02.01",Drive information,
10,Reserved,Reserved,Drive information,
11,Drive address,"Drive address, used for viewing, does not support online modification, address range 0-63",Drive information,
12,RS232/RS485/USB communication baud rate,"RS232/RS485/USB communication baud rate
0-9600bps;
1-19200bps;
2-38400bps;
3-57600bps;
4-115200bps;
Restart to apply after any modification",Drive information,
13,CAN communication baud rate,"CAN bus communication baud rate
0-50kbps;
1-125kbps;
2-250kbps;
3-500kbps;
4-800kbps;
5-1Mbps;
Restart to apply after any modification",Drive information,
14,CAN master/slave station selection,"This option is only valid in the PLC operating mode, in any other modes it has to be slave:
0-The drive is used as a CAN master in PLC mode, and can send commands to the rest units on the same CAN network. The format of the command is MOTEC cyclic transmission with MOTEC protocols.
1-The drive is used as a CAN slave in any mode and can only accept CAN commands. It can receive MOTEC loop data frames, MOTECIAN custom protocol data frames, CANopen data frames in any mode.MOTEC loop data rames and CANopen data frame cannot present simultaneously in one CAN network",Drive information,
15,Communication options,"0-MOTECIAN communication;
1-CANopen communication;",Drive information,
16,CANopen communication mode selection,"CANopen communication mode fast channel selection:
0-Do not enable MOTEC fast channel, control through CANopen-compliant DS402 protocol
1-Enable MOTEC fast channel, controlled by MOTEC fast channel",Drive information,
17,Communication slave station type flag,"Communication slave station type flag under CAN cyclic data frame
0-Drive used as a slave drive, the data in the data frame including position,speed and I/O status;
1-Drive used as extended I/O port of the master drive. The data frame only includes the status of I/O.",Drive information,
18,MOTECIAN checksum method,"MOTECIAN checksum method£º
0-CRC
1-XOR",Drive information,
19,Current DIP switch status,"BIT0~BIT7 indicate SWITCH1~SWITCH8, which only indicates status at the moment of power-on.",Drive information,
20,CANopen Satrt/Stop,"
0-Normal CANopen operation
1-Set the CANopen parameter, Stop receiving and sending SDO and PDO",Drive information,
21,Reserved,Reserved,Reserved,
22,motor model,"Indicates motor type 0xABCD, where A represents phase and B represents specific model such as 609, 620, A12, etc.",Motor information,
23,Motor rated current,Motor's rated current,Motor information,
24,Motor feedback type,"Motor feedback type:
0-incremental encoder;
1-digital Hall;
2-rotary transformer;
3-4 line encoder;
4-Tamachuan 17-bit encoder;
5-Heidehan EnData2.2 encoder;
6-Renishaw Biss encoder;
7-SSI encoder;",Motor information,
25,Close loop option,"0-no encoder is used;
1-encoder is used as feedback (close loop. not valid)",Motor information,
26,"Encoder count per revolution, high bits","High bit of encoder counts per revolution, together with lowe bits it makes a 32 bits   for encoder resolution",Drive information,
27,"Encoder count per revolution, lowe  bits","Low bit of encoder counts per revolution, together with high bits it makes a 32 bits   for encoder resolution",Drive information,
28,Encoder inverse feedback selection,"Encoder inverse feedback selection
0-not enabled;
1-Enable",Motor information,
29,Motor Ke value,Motor back electromotive force constant (not valid),Motor information,
30,Motor resistance value,Motor phase resistance (not valid),Motor information,
31,Motor inductance,Motor phase inductance (not valid),Motor information,
32,Encoder alarm enabled,"When function is enabled when drive lost its power, current position will be saved into its flash and can be restored when power is resumed.
0-Encoder error will not generate an alarm
1-Encoder error will generates an alarm",Motor information,
33,Reserved,Reserved,Reserved,
34,Lost power position save function,"
0-Function not enable
1-Function enabled",Motor information,
35,Lost power position data high bits,Lost power position data high bits,Motor information,
36,Lost power position data low bits,Lost power position data low bits,Motor information,
37,Reserved,Reserved,Motor information,
38,Restore factory settings,"1-Restore factory settings, auto reset to zero, not saved to FLASH",Motor information,
39,Microstep setting,Microstep setting 200-60000,Motor information,
40,Analog input as motor temperature,"The function allow an analog signal to be connected to drive as motor temperature 
0-Function disabled;
1-Function enabled;",Motor information,
41,Analog input as motor temperature alarm,Temperature exceed this parameter drive will generate an alarm but motor will keep working,Motor information,
42,Analog input as motor temperature alert,Temperature exceed this parameter drive will generate an alert and motor will be released,Motor information,
43,Motor current setting,Motor current setting,Motor information,
44,Half-current function,"When motor is in static and set time elapsed, the function will half current currentto reduce heating. 1- Function eabaled. 0-Function disabled.",Motor information,
45,Holding current factor,"Holding current factor. When motor is in static, pencentage of motor rate current.",Motor information,
46,Half-current delay time,"If half-current is enabled, when motor stopped and set time (this parameter)elcaped, drive will reduce 50% of current.",Motor information,
47,Half-current reducing step,"When half-current function start working, current will be reduced step by step till 50% current is reached. This paramater defined the current reducing value of each step.",Motor information,
48,Position error tolerance high 16-bit byte,Position error tolerance high 16-bit byte,Motor information,
49,Position error tolerance low 16-bit byte,Position error tolerance low 16-bit byte,Motor information,
50,Reserved,Reserved,Reserved,
51,Operating mode,"Drive operating mode:
0-network command mode;
1-pulse/direction mode;
2-analog signal mode;",control parameter,
52,Control mode,"Drive control mode:
0-position control mode;
1-Speed control mode",control parameter,
53,Motor Enable/Disable,"0-Disabled;
1-Enabled",control parameter,
54,Encoder count high bits,current encoder value,control parameter,
55,Encoder current low bits,current encoder value,control parameter,
56,Encoder count clear,"Write 1 to clear encoder count, then the valued of this register automatically returned to 0",control parameter,
57,Clear alarm information,"Write 1 to clear alarm, then the value of this register automatically returned to 0",control parameter,
58,Drive alarm information 1,Current alarm information,control parameter,
59,Drive alarm information 2,Last alarm information,control parameter,
60,Alarm handling limit,"This is 16 bits number, if any bit is 1, means motor will not be released if there is alarm (number of bit0",control parameter,
61,Save parameters to flash,"Write 1 to save current parameters to FLASH, and then the paramter automatically return to 0",control parameter,
62,Overvoltage alarm time threshold,"If overvoltage time exceeds this time threshold, overcurrent alarm will be generated.",control parameter,
63,Overcurrent alarm time threshold,"If overcurrent time exceeds this time threshold, overcurrent alarm will be generated.",control parameter,
64,Power supply voltage,The unit is 0.1V.Current value is current bus voltage ,control parameter,
65,PLC status,"0-Internal Plc not running
1-Internal PLC running",control parameter,
66,PLC serial number high 16 bits,"To enable PLC function, a code is needed from MOTEC based this serial number",control parameter,
67,PLC serial number lower 16 bits,"To enable PLC function, a code is needed from MOTEC based this serial number",control parameter,
68,PLC Function Enabled/Disabled.,"5555-Built-in PLC is disabled.
9999-Built-in PLC is enabled.",control parameter,
69,Reserved,Reserved,Reserved,
70,Reserved,Reserved,Reserved,
71,Reserved,Reserved,Reserved,
72,Reserved,Reserved,Reserved,
73,Reserved,Reserved,Reserved,
74,Reserved,Reserved,Reserved,
75,Reserved,Reserved,Reserved,
76,Reserved,Reserved,Reserved,
77,Reserved,Reserved,Reserved,
78,Position control start mode,"
0-Current motion will not stp, start the motion with current speed as starting speed, target position based on the latest control command
1-Immediately stop current motion and start motion from speed 0",Position control parameter,
79,Reserved,Reserved,Position control parameter,
80,Position control motion mode,0-Absolute motion (position calculated based on home)      1-Relative motion(position calculated based on current position),Position control parameter,
81,Point-to-point motion distance high 16 bits,Point-to-point motion distance high 16 bits,Position control parameter,
82,Point-to-point motion distance low 16 bits,Point-to-point motion distance low 16 bits,Position control parameter,
83,Point-to-point motion position set high 16 bits,Point-to-point motion position set high 16 bits. In absolute mode this is equal to motion distance. In relative mode this is equal to current position plus motion distance.,Position control parameter,
84,Point-to-point motion position set low 16 bits,Point-to-point motion position set low 16 bits. In absolute mode this is equal to motion distance. In relative mode this is equal to current position plus motion distance.,Position control parameter,
85,Point-to-point motion target position high 16 bits,Target position of current control cycle,Position control parameter,
86,Point-to-point motion target position low 16 bits,Target position of current control cycle,Position control parameter,
87,Position mode point-to-point motion maximum speed,Position mode point-to-point motion maximum speed,Position control parameter,
88,Position mode point-to-point motion acceleration,Position mode point-to-point motion acceleration. Used in speed control mode as well.,Position control parameter,
89,Position mode point-to-point motion deceleration,Position mode point-to-point motion deceleration. Used in speed control mode as well.,Position control parameter,
90,Position mode point-to-point motion maximum reverse speed,The maximum speed at which the reverse motion begins when motor receive an command to reverse motion direction.,Position control parameter,
91,Position mode point-to-point motion reverse deceleration,Position mode point-to-point motion reverse deceleration,Position control parameter,
92,Motion completion flag,"0-Point to point motion not completed
1-Point to point motion completed",Position control parameter,
93,Motion near completion flag,"0-Current position in near completion area
1-Current position not in near completion area",Position control parameter,
94,Completion area,Define a area where motion is considered completed.,Position control parameter,
95,Reserved,Reserved,Position control parameter,
96,Complete settling time,"When position is in motion completion area and set time(this paramater) elapsed, motion completion flag will be set;",Position control parameter,
97,Stop deceleration,Deceleration for stop motion,Position control parameter,
