编号,范围,单位,默认值,数据类型,属性,保留,模式
0,0~65535,NA,0,U16,RO,N,
1,0~4294967295,NA,0,U32,RO,N,
2,0~65535,NA,0,NA,RO,N,
3,0~65535,NA,0,U16,RO,N,
4,0~65535,NA,0,U16,RO,N,
5,0~65535,0.1a,0,U16,RW,N,
6,0~65535,NA,0,U16,RO,N,
7,0~4294967295,NA,0,U32,RW,N,
8,0~65535,NA,0,NA,RW,N,
9,0~65535,NA,0,U16,RO,N,
10,0~65535,NA,0,U16,RW,N,
11,0~255,NA,0,U16,RO,N,
12,0~10,BaudRate,0,U16,RO,N,
13,0~10,BaudRate,0,U16,RO,N,
14,0~2,NA,0,U16,RW,N,
15,0~2,NA,0,U16,RW,N,
16,0~2,NA,0,U16,RW,N,
17,0~2,NA,0,U16,RW,N,
18,0~1,NA,0,U16,RW,N,
19,0~65535,NA,0,U16,RW,N,
20,0~65535,NA,0,U16,RW,N,
21,0~65535,NA,0,U16,RW,N,
22,0~65535,NA,0,U16,RW,N,
23,0~65535,0.1A,0,U16,RW,N,
24,0~10,NA,0,U16,RW,N,
25,0~1,NA,0,U16,RW,N,
26,0~4294967295,pul,0,U32,RW,N,
27,0~65535,NA,0,NA,RW,N,
28,0~65535,NA,0,U16,RW,N,
29,0~65535,NA,0,U16,RW,N,
30,0~65535,NA,0,U16,RW,N,
31,0~65535,NA,0,U16,RW,N,
32,0~65535,NA,0,U16,RW,N,
33,0~65535,NA,0,U16,RW,N,
34,0~1,NA,0,U16,RW,N,
35,0~65535,NA,0,U16,RW,N,
36,0~65535,NA,0,U16,RW,N,
37,0~65535,NA,0,U16,RW,N,
38,0~1,NA,0,U16,RW,N,
39,0~65535,NA,0,U16,RW,N,
40,0~1,NA,0,U16,RW,N,
41,0~65535,NA,0,U16,RW,N,
42,0~65535,NA,0,U16,RW,N,
43,0~80,0.1a,0,U16,RW,N,
44,0~1,NA,0,U16,RW,N,
45,1~99,1%,0,U16,RW,N,
46,0~65535,ms,0,U16,RW,N,
47,0~65535,NA,0,U16,RW,N,
48,0~65535,pul,0,U16,RW,N,
49,0~65535,NA,0,U16,RW,N,
50,0~65535,NA,0,U16,RW,N,
51,0~2,NA,0,U16,RW,N,
52,0~1,NA,0,U16,RW,N,
53,0~1,NA,0,U16,RW,N,
54,-2147483648~2147483647,pul,0,U32,RW,N,
55,0~65535,NA,0,NA,RW,N,
56,0~1,NA,0,U16,RW,N,
57,0~1,NA,0,U16,RW,N,
58,0~65535,NA,0,U16,RW,N,
59,0~65535,NA,0,U16,RW,N,
60,0~65535,NA,0,U16,RW,N,
61,0~1,NA,0,U16,RW,N,
62,0~65535,NA,0,U16,RW,N,
63,0~65535,NA,0,U16,RW,N,
64,0~5000,0.1V,0,U16,OR,N,
65,0~1,NA,0,U16,RW,N,
66,0~65535,NA,0,U16,RW,N,
67,0~4294967295,NA,0,U32,RW,N,
68,0~65535,NA,0,U16,RW,N,
69,0~65535,NA,0,U16,RW,N,
70,0~65535,NA,0,U16,RW,N,
71,0~65535,NA,0,U16,RW,N,
72,0~65535,NA,0,U16,RW,N,
73,0~65535,NA,0,U16,RW,N,
74,0~65535,NA,0,U16,RW,N,
75,0~65535,NA,0,U16,RW,N,
76,0~65535,NA,0,U16,RW,N,
77,0~65535,NA,0,U16,RW,N,
78,0~1,NA,0,U16,RW,N,
79,0~1,NA,0,U16,RW,N,
80,0~1,NA,0,U16,RW,N,
81,-2147483648~2147483647,pul,0,U32,RW,N,
82,0~65535,NA,0,NA,RW,N,
83,-2147483648~2147483647,pul,0,U32,RW,N,
84,0~65535,NA,0,NA,RW,N,
85,-2147483648~2147483647,pul,0,U32,RW,N,
86,0~65535,NA,0,NA,RW,N,
87,0~5000,rpm,0,U16,RW,N,
88,0~2000,r/s^2,0,U16,RW,N,
89,0~2000,r/s^2,0,U16,RW,N,
90,0~3000,rpm,0,U16,RW,N,
91,0~2000,r/s^2,0,U16,RW,N,
92,0~1,NA,0,U16,RO,N,
93,0~1,NA,0,U16,RO,N,
94,0~65535,pul,0,U16,RW,N,
95,0~65535,NA,0,U16,RW,N,
96,0~65535,NA,0,U16,RW,N,
97,0~2000,r/s^2,0,U16,RW,N,
98,0~1,NA,0,U16,RW,N,
99,0~1,NA,0,U16,RW,N,
100,0~1,NA,0,U16,RW,N,
101,0~1,NA,0,U16,RW,N,
102,0~65535,NA,0,U16,RW,N,
103,0~65535,NA,0,U16,RW,N,
104,0~65535,NA,0,U16,RW,N,
105,0~65535,NA,0,U16,RW,N,
106,0~65535,NA,0,U16,RW,N,
107,0~65535,NA,0,U16,RW,N,
108,-5000~5000,rpm,0,U16,RW,N,
109,-5000~5000,rpm,0,U16,RO,N,
110,0~1,rpm,0,U16,RO,N,
111,-5000~5000,rpm,0,U16,RW,N,
112,0~65535,ms,0,U16,RW,N,
113,0~65535,NA,0,U16,RW,N,
114,0~65535,NA,0,U16,RW,N,
115,0~65535,NA,0,U16,RW,N,
116,-5000~5000,rpm,0,U16,RW,N,
117,0~2000,r/s^2,0,U16,RW,N,
118,0~65535,NA,0,U16,RW,N,
119,-2147483648~2147483647,pul,0,U32,RW,N,
120,0~65535,NA,0,NA,RW,N,
121,0~65535,rpm,0,U16,RW,N,
122,0~65535,ms,0,U16,RW,N,
123,0~1,NA,0,U16,RW,N,
124,0~1,NA,0,U16,RW,N,
125,0~1,NA,0,U16,RO,N,
