编号,范围,单位,默认值,字节,属性,保留
0,1~65535,NA,2013,2,OR,N
1,0~1,NA,0,1,OR,N
2,1~254,NA,1,1,OR,N
3,0~4,NA,0,1,RW,N
4,0~1,NA,0,1,RW,N
5,0~1,NA,0,1,RW,N
6,0~1,NA,0,1,RW,N
7,0~1,NA,0,1,OR,N
8,0~1,NA,0,1,OR,N
9,0~1,NA,0,1,RW,N
10,0~65535,,0,,RW,N
11,0~65535,,0,,RW,N
12,1~9,NA,0,2,RW,N
13,0~1,NA,0,1,OR,N
14,0~1,NA,0,1,OR,N
15,0~1,NA,0,1,OR,N
16,0~9,NA,0,2,RW,N
17,1~65535,ms,500,2,RW,N
18,300~60000,NA,10000,1,RW,N
19,10~80,0.1A,40,1,RW,N
20,1~100,1%,50,1,RW,N
21,0~65535,ms,100,2,RW,N
22,1~65535,,,2,RW,N
23,0~3000,NA,1000,2,RW,N
24,0~5000,mv,100,2,RW,N
25,0~65535,,0,,RW,N
26,0~65535,,0,,RW,N
27,0~65535,,0,,RW,N
28,0~65535,,0,,RW,N
29,0~65535,,0,,RW,N
30,0~1,NA,0,1,RW,N
31,0~65535,NA,0,2,RW,N
32,0~65535,NA,0,2,RW,N
33,0~65535,NA,0,2,RW,N
34,0~65535,NA,0,2,RW,N
35,0~65535,,0,,RW,N
36,0~65535,,0,,RW,N
37,0~65535,,0,,RW,N
38,0~65535,,0,,RW,N
39,0~65535,,0,,RW,N
40,0~65535,,0,,RW,N
41,0~65535,,0,,RW,N
42,0~65535,,0,,RW,N
43,0~65535,,0,,RW,N
44,0~65535,,0,,RW,N
45,0~65535,,0,,RW,N
46,0~65535,,0,,RW,N
47,0~65535,,0,,RW,N
48,0~65535,,0,,RW,N
49,0~65535,,0,,RW,N
50,0~65535,,0,,RW,N
51,0~65535,,0,,RW,N
52,0~65535,,0,,RW,N
53,0~65535,,0,,RW,N
54,0~65535,,0,,RW,N
55,0~65535,,0,,RW,N
56,0~65535,,0,,RW,N
57,0~65535,,0,,RW,N
58,0~65535,,0,,RW,N
59,0~3000,rpm,1000,2,RW,N
60,1~200,round/s2,10,2,RW,N
61,1~200,round/s2,10,2,RW,N
62,0~65535,,,2,OR,N
63,-3000~3000,rpm,20,2,RW,N
64,0~3000,rpm,20,2,RW,N
65,0~65535,NA,100,2,RW,N
66,0~65535,ms,10,2,RW,N
67,0~65535,,0,,OR,N
68,0~65535,,0,,OR,N
69,0~1,NA,0,1,RW,N
70,0~65535,NA,0,2,RW,N
71,0~65535,NA,0,2,RW,N
72,0~65535,NA,0,2,RW,N
73,0~65535,NA,0,2,RW,N
74,-3000~3000,rpm,0,2,RW,N
75,0~3000,rpm,0,2,RW,N
76,0~1,NA,0,1,RW,N
77,0~65535,,0,,RW,N
78,0~65535,,0,,RW,N
79,0~65535,,0,,RW,N
80,0~65535,,0,,RW,N
81,0~65535,NA,0,2,RW,N
82,0~5,V,0,2,OR,N
83,1~8,NA,0,1,OR,N
84,1~3,NA,0,1,RW,N
85,5~65535,ms,0,,RW,N
86,0~65535,0.01度,0,,RW,N
87,0~5,,0,,RW,N
88,0~1,NA,0,1,RW,N
89,0~1,NA,0,1,RW,N
90,0~2,NA,0,1,RW,N
91,0~1,NA,0,1,RW,N
92,0~1,NA,0,1,RW,N
93,0~1,NA,0,1,RW,N
94,0~1,NA,0,1,RW,N
95,0~1,NA,0,1,RW,N
96,0~1,NA,0,1,RW,N
97,0~1,NA,0,1,RW,N
98,0~1,NA,0,1,RW,N
99,0~0,NA,0,1,OR,N
100,0~1,NA,0,1,RW,N
