编号,名称,功能说明,参数分组
0,序列号,,Y
1,型号,,Y
2,地址,,Y
3,操作模式,,Y
4,控制模式,,Y
5,电机使能,,Y
6,开始/停止运动,,Y
7,完成标志,,Y
8,运动状态,,Y
9,是否启用半流,,Y
10,保留,,Y
11,保留,,Y
12,故障代码,,Y
13,正JOG,,Y
14,负JOG,,Y
15,找零点,,Y
16,报警保护级别,,Y
17,过持续压过流报警时间,,Y
18,细分设置,,Y
19,最大电流,,Y
20,保持电流,,Y
21,半流延时,,Y
22,保留,,Y
23,模拟模式最大速度,,Y
24,模拟信号控制死区,,Y
25,模拟信号控制零点,,Y
26,主站从站选择,,Y
27,保留,,Y
28,保留,,Y
29,保留,,Y
30,软限位有效,,Y
31,正向软限位 高16位,,Y
32,正向软限位 低16位,,Y
33,负向软限位 高16位,,Y
34,负向软限位 低16位,,Y
35,保留,,Y
36,保留,,Y
37,保留,,Y
38,保留,,Y
39,保留,,Y
40,保留,,Y
41,保留,,Y
42,保留,,Y
43,保留,,Y
44,保留,,Y
45,保留,,Y
46,保留,,Y
47,保留,,Y
48,保留,,Y
49,保留,,Y
50,保留,,Y
51,保留,,Y
52,保留,,Y
53,保留,,Y
54,保留,,Y
55,保留,,Y
56,保留,,Y
57,保留,,Y
58,最小停止速度,点到点运动的最小停止速度,Y
59,最大速度,,Y
60,加速度,,Y
61,减速度,,Y
62,保留,,Y
63,回零速度,,Y
64,点动速度,,Y
65,完成区域,,Y
66,稳定时间,,Y
67,保留,,Y
68,保留,,Y
69,运动模式设定,,Y
70,运动距离 高16位,,Y
71,运动距离 低16位,,Y
72,当前位置 高16位,,Y
73,当前位置 低16位,,Y
74,运动速度设定,,Y
75,当前运动速度,,Y
76,位置归零,,Y
77,保留,,Y
78,保留,,Y
79,保留,,Y
80,保留,,Y
81,电源电压,,Y
82,模拟输入,,Y
83,数字输入,,Y
84,数字输出,,Y
85,震荡周期,,Y
86,震荡角度,,Y
87,震荡开始,,Y
88,保存参数表到FLASH,,Y
89,模拟量输入口功能,,Y
90,输入口1功能,,Y
91,输入口2功能,,Y
92,输入口3功能,,Y
93,输入口4功能,,Y
94,输入口5功能,,Y
95,输入口6功能,,Y
96,输入口7功能,,Y
97,输入口8功能,,Y
98,输出口1功能,,Y
99,输出口2功能,,Y
100,输出口3功能,,Y
